numBranches, numEndPoints, numJunctionVoxels, numJunctions, numSlabs, numTriples, numQuadruples, averageBranchLength, maximumBranchLength, shortestPath, numVoxels, width, height, depth, class
1, 2, 0, 0, 25, 0, 0, 30.556349, 30.556349, 30.556349, 1269, 21, 12, 23, 2
3, 3, 1, 1, 23, 1, 0, 12.397099, 26.070339, 34.362869, 3134, 22, 30, 24, 2
3, 3, 3, 1, 34, 1, 0, 16.747061, 34.388176, 46.412754, 825, 12, 17, 25, 2
1, 2, 0, 0, 10, 0, 0, 15.585057, 15.585057, 15.585057, 630, 16, 11, 13, 2
1, 2, 0, 0, 3, 0, 0, 4, 4, 4, 65, 5, 5, 5, 1
1, 2, 0, 0, 1, 0, 0, 2, 2, 2, 90, 5, 5, 5, 1
1, 2, 0, 0, 2, 0, 0, 3, 3, 3, 59, 3, 5, 5, 1
1, 2, 0, 0, 11, 0, 0, 12.828427, 12.828427, 12.828427, 624, 9, 8, 18, 1
1, 2, 0, 0, 11, 0, 0, 12.414213, 12.414213, 12.414213, 422, 6, 8, 17, 1
1, 2, 0, 0, 7, 0, 0, 8.8284273, 8.8284273, 8.8284273, 302, 8, 7, 13, 1
1, 2, 0, 0, 19, 0, 0, 24.777811, 24.777811, 24.777811, 756, 11, 14, 19, 2
1, 2, 0, 0, 7, 0, 0, 10.292529, 10.292529, 10.292529, 1046, 10, 13, 21, 2
3, 3, 1, 1, 7, 1, 0, 4.8938112, 5.9746914, 10.53517, 820, 9, 14, 19, 2
7, 2, 6, 4, 37, 4, 0, 8.9644346, 17.585058, 40.412754, 1246, 21, 22, 15, 3
10, 4, 10, 5, 50, 4, 1, 9.0360165, 24.413485, 38.180084, 3154, 19, 30, 24, 3
7, 5, 7, 3, 61, 3, 0, 12.633315, 29.585058, 74.044304, 3642, 47, 24, 22, 3
1, 2, 0, 0, 8, 0, 0, 9, 9, 9, 367, 6, 6, 18, 1
1, 2, 0, 0, 5, 0, 0, 6, 6, 6, 291, 6, 7, 13, 1
1, 2, 0, 0, 8, 0, 0, 10.560478, 10.560478, 10.560478, 450, 11, 8, 13, 1
1, 2, 0, 0, 3, 0, 0, 4.4142137, 4.4142137, 4.4142137, 394, 7, 8, 15, 1
1, 2, 0, 0, 5, 0, 0, 7.9746914, 7.9746914, 7.9746914, 899, 13, 8, 20, 2
5, 4, 2, 2, 38, 2, 0, 11.404624, 30.463373, 51.462643, 3252, 21, 26, 24, 3
1, 2, 0, 0, 4, 0, 0, 5, 5, 5, 479, 7, 8, 16, 1
6, 5, 5, 2, 38, 1, 1, 9.9829206, 26.04916, 41.023849, 1978, 16, 25, 22, 3
